id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
21df5b6f-bdef-4433-b638-0e85d62104ba,15,TI-722511,MICROSOFT,"If on-prem remedies (Data Mart Reset, config changes) failed, the plan was to open a Microsoft support ticket — Microsoft is the upstream vendor for the platform and a potential escalation target.",7.0,24,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
9eaf6ec9-d27c-4f1a-8af1-4c9ab5026388,16,TI-722511,CONSULTING COMPANY,"Portal emails and NO-REPLY entries (e.g., employee14@consultingcompany.ch) indicate the consulting/support organization performed the triage, posted portal updates and coordinated remediation for TI-722511.",8.0,20,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
6810540a-3e5b-4b8c-b54a-1385c8822c26,17,TI-722511,AVANADE,"Avanade participated in troubleshooting calls and collaborative investigation for the ticket (call with Employee 14, Artur, Ms. X and Avanade), indicating vendor involvement in the incident response.",1.0,20,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
15ebea28-04fb-4eb7-86cd-d52b227f57f6,18,EMPLOYEE 13,PORTAL NO-REPLY EMAIL (EMPLOYEE14@CONSULTINGCOMPANY.CH / EMPLOYEE13@CONSULTINGCOMPANY.CH),The employee13@consultingcompany.ch NO-REPLY address is associated with Employee 13 as the sender/account used for portal-generated entries and notifications seen in the ticket activity.,10.0,10,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
fd3d2b45-1d2c-4455-9746-5aafa7d56dbf,19,EMPLOYEE 14,SYSTEM ENGINEER,Employee 14 forwarded the case to the responsible System Engineer and coordinated the initial triage and communications.,8.0,16,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
bdc8fa0f-3178-4348-a0ed-0f4f23f46a17,20,EMPLOYEE 14,AVANADE,"EMPLOYEE 14 conducted troubleshooting calls with Avanade (the external partner) to investigate and resolve a reproducible error. Those sessions included internal participants Artur and Ms. X, indicating coordinated cross-organizational collaboration between EMPLOYEE 14, other internal staff, and Avanade to diagnose the issue.",13.0,13,"['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']"
4ecaf5d1-94ef-48f4-aea3-e14409557d37,21,EMPLOYEE 14,PORTAL NO-REPLY EMAIL (EMPLOYEE14@CONSULTINGCOMPANY.CH / EMPLOYEE13@CONSULTINGCOMPANY.CH),The employee14@consultingcompany.ch NO-REPLY address is associated with Employee 14 as the sender/account used for portal-generated entries and notifications seen in the ticket activity.,10.0,14,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
04ed0888-520f-49a4-a706-7fa439510208,22,MICROSOFT CRM PORTALS,PORTAL NO-REPLY EMAIL (EMPLOYEE14@CONSULTINGCOMPANY.CH / EMPLOYEE13@CONSULTINGCOMPANY.CH),The portal NO-REPLY addresses are the SMTP/from addresses used by Microsoft CRM Portals to generate portal notes/notifications and automated ticket emails recorded in the ticket activity stream.,9.0,16,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
bf40430f-50d6-468c-9bc9-a6184a4aa812,23,MICROSOFT CRM PORTALS,MICROSOFT DYNAMICS CRM,Microsoft CRM Portals are a front-end/portal surface connected to the Dynamics CRM platform; portal notes and ticket creation originate from this CRM/portal integration.,9.0,15,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
dd3ed34c-72fa-45bb-8832-7dd4a59990d6,24,MICROSOFT CRM PORTALS,APPLICATIONUSER,"The ApplicationUser service account/context (""ApplicationUser, CRM Development"") operates within/against the Microsoft CRM Portals (used to perform automated actions or record statuses such as ""Waiting"").",8.0,16,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
967c27d8-14fa-45ac-afc2-77c415a14d5a,25,BU CUSTOMER SERVICES RUN,CONSULTING COMPANY,BU Customer Services Run is a business unit/team within the consulting/support organization that was assigned the ticket for operational/run support activities.,8.0,14,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
1feb42ea-7ece-4376-a410-62d51fe50163,26,CRM DEVELOPMENT,APPLICATIONUSER,"The portal activity shows that CRM DEVELOPMENT performs ticket-workflow actions through a service/application account labeled APPLICATIONUSER. Log entries record the actor as ""ApplicationUser, CRM Development"" (e.g., ""ApplicationUser, CRM Development | WEB"") and show status changes such as ""Waiting,"" indicating CRM DEVELOPMENT’s interactions with the ticket system occur via that ApplicationUser account and originate from the web interface. This combined actor string implies the ApplicationUser service account is the identity under which CRM DEVELOPMENT’s automated or shared-web-based actions are recorded, which has implications for auditing and individual accountability when mapping identities and workflows.",9.0,9,"['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '15912b39ea3765c74b4408719139382e616a786cbdb170a48b70393a86c72cb73c34c52dd63faf188608ee7cd368a9a4ae214959f09162e76d4c60d49d571a7b']"
c15329da-50a4-4e78-96b7-2ae4c7623ea8,27,CRM DEVELOPMENT,MICROSOFT DYNAMICS CRM,The CRM Development team is the development/technical team responsible for/customizing and operating the Dynamics CRM environment that underpins the Microsoft CRM Portals and related portal activities.,8.0,8,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
468c958a-ff36-453d-8506-5f4ef4a1a30f,28,DYNAMICS 365 F&O,MANAGEMENT REPORT / FINANCIAL REPORTS,Management/Financial Reports (edit workflow) are a feature/module within Dynamics 365 Finance & Operations; the observed error occurs when accessing this component.,10.0,6,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
72621dcd-765d-4c89-bc56-bfa683d08755,29,DYNAMICS 365 F&O,GENERAL LEDGER,General Ledger is a module/area within Dynamics 365 Finance & Operations where users navigate to access Financial Reports → Edit and encounter the reported error.,10.0,4,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
6ff21cd2-8b2a-417b-8af9-5c2f5acf52ce,30,MANAGEMENT REPORT / FINANCIAL REPORTS,DATA MART,Investigative next steps included a Data Mart Reset if other remediation failed — indicating the Management Reports rely on or are affected by the Data Mart/reporting backend.,8.0,7,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
289be1a2-d9bc-405a-aec4-e56a1cc6fc7c,31,MANAGEMENT REPORT / FINANCIAL REPORTS,AOS SERVERS,The Management Reports feature runs on F&O application infrastructure (AOS servers); restarting AOS servers was part of the remediation to restore report functionality.,9.0,14,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
a7cfc88b-f64b-4bcb-8353-074d264aa205,32,MANAGEMENT REPORT / FINANCIAL REPORTS,GENERAL LEDGER,The Management/Financial Reports editing functionality is reached via the General Ledger module (F&O → General Ledger → Financial Reports → Edit) and the reported failures occur in this context.,10.0,6,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
7cf4acc4-0748-4b0e-ab47-ccd71a3da8a9,33,JIRA ICO261-183,JIRA (JIRA.KF11OHM.COM),The JIRA instance hosts the internal issue ICO261-183 referenced in the portal notes (Mexico ticket) that reports the same error and should be correlated with TI-722511 for root-cause analysis.,10.0,3,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
7a6d581b-e2c5-47e5-858b-62dd2be7cc67,34,IISCRYPTO,BEST-PRACTICE CIPHER SUITES,IISCRYPTO was used to activate the best-practice cipher suites on the servers — direct tooling-to-configuration relationship described in the closure notes.,10.0,6,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
1c568a90-fd0f-4565-8b66-9c64de3a284c,35,IISCRYPTO,IIS SERVERS,IISCRYPTO was used to modify/activate best-practice cipher suites on IIS servers; IIS servers are the target infrastructure for the IISCRYPTO configuration changes noted in the closure.,10.0,5,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
1071ee56-7a9b-443b-833a-4c579a4eaf34,36,AOS SERVERS,BEST-PRACTICE CIPHER SUITES,Best-practice cipher suites were applied to the server environment (and AOS servers were restarted) as part of the remediation; the configuration change likely affected AOS/TLS behavior.,9.0,13,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
0d7e20d0-cf6a-4802-a251-943afc3be492,37,AOS SERVERS,IIS SERVERS,"IIS servers and AOS application servers are both part of the application stack; closure actions included applying cipher suite changes (IISCRYPTO) and restarting AOS servers, indicating coordinated remediation across web and application tiers.",8.0,12,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
0af5f234-e40e-402a-a8b7-4922d2110062,38,EMPLOYEE 14,ARTUR,Employee 14 participated in a joint call with Artur (both are co-investigators/participants on the troubleshooting call).,7.0,13,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
b572ee11-65e0-452a-b9b4-64052c6a6683,39,EMPLOYEE 14,MS. X,Employee 14 was on the same investigative call as Ms. X and referenced Ms. X's absence affecting tests (Ms. X absent until 16.04.2024).,6.0,13,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
df61806e-9fc2-4fb4-a468-98bcdb10f7e5,40,EMPLOYEE 14,REPORT DESIGNER,Employee 14 observed and reported that the Report Designer was extremely slow except when accessed directly via 001-SRV-AOS72 and drove next remediation steps (Data Mart Reset).,9.0,25,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
962102c3-ee72-4d7b-84a1-87a7e59f0c88,41,EMPLOYEE 14,NETWORK INFRASTRUCTURE,"Employee 14 confirmed that network checks found no irregularities during the initial investigation, implicating application/data layers instead.",6.0,14,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
e5e8e973-02c9-42de-8a94-28a073984dc7,42,EMPLOYEE 13,FRDB IN D365FO_INTE,Employee 13 recreated the FRDB in the D365FO_INTE environment as part of remediation actions recorded in the timeline.,10.0,10,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
08001ae7-5854-491b-8580-45d5b32b1d21,43,EMPLOYEE 13,DATA MART,"Employee 13 performed the Data Mart Reset (noted ""FRDB ... recreated and Data Mart Reset performed""), indicating direct action on the Data Mart to remediate reporting issues.",10.0,10,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
753d08a9-4af2-4a9a-84f0-a23b7a11e3d6,44,EMPLOYEE 13,MICROSOFT SUPPORT TICKET #2404050050000982,Employee 13 opened the Microsoft support ticket (ID #2404050050000982) to escalate the issue after local remediation steps and evidence of a global impact were observed.,10.0,10,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
70a4ab0e-2458-427a-a8b0-a59c7372e105,45,EMPLOYEE 13,CRM TEAM (ADMINISTRATORS),"The CRM admin/operations role coordinated ticket assignment and transferred ownership to Employee 13 (Admin, CRM reassigned the ticket to Employee 13 as recorded in the timeline).",8.0,8,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
38c7171b-57c5-4b7d-b1c1-c0cf3218deba,46,EMPLOYEE 13,JIRA.KF11.COM,Employee 13 referenced and tracked issue escalation and broader incident status using internal tracking (JIRA at jira.KF11.com) and opened the Microsoft support ticket after observing global impact; Employee 13's actions are linked to entries in the internal tracking system.,8.0,10,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
5b370c36-97f5-4595-833f-f6109e5aca1c,47,MICROSOFT CRM PORTALS,JIRA.KF11.COM,"Microsoft CRM Portals entries referenced an internal JIRA ticket (link to jira.KF11.com) and indicated related internal tickets (including one from Mexico), showing cross-referencing between the CRM portal logs and the internal issue-tracking system.
Microsoft CRM Portals entries reference or link to the internal JIRA system (jira.KF11.com) and note that internal tickets (e.g., from Mexico) have been opened, indicating tracking/triage across systems.",9.0,16,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
2c30606e-ff2a-4ffc-8677-fd7cb7cca73d,48,MICROSOFT CRM PORTALS,REGINA,Regina posted screenshots and reported issues via the Microsoft CRM Portals channel (the portal contains the user-submitted screenshots and messages describing the issue).,8.0,15,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
7ebc2237-abe6-4a1a-8306-09b020f55955,49,MICROSOFT CRM PORTALS,ZENO,"Zeno posted a small update to the Microsoft CRM Portals channel, contributing status information to the incident timeline.",1.0,14,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
e5e759ae-82cb-4d46-a360-de1130817357,50,MICROSOFT CRM PORTALS,CRM DEVELOPMENT,"The CRM Development team authored or monitored entries in the Microsoft CRM Portals channel (status updates, questions about the Data Mart Reset, scheduling notes), using the portal to communicate about the incident.",8.0,19,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
ee513e61-7c77-429e-8b3a-e4560df8c92b,51,REGINA,EMEA FINANCE,Regina reported that EMEA finance employees were unable to open reports — she is the reporting contact for the affected business group.,8.0,4,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
91331ab5-6027-4f1a-ae88-195d57312aee,52,EMEA FINANCE,REPORT DESIGNER,"EMEA finance users were impacted by Report Designer failures (unable to open reports; authors shown as ""unknown""), establishing a user-to-application impact relationship.",9.0,16,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
6ffbf81c-56f4-441b-b4cc-a283c5cce4e0,53,REPORT DESIGNER,MICROSOFT SUPPORT TICKET #2404050050000982,"The Microsoft support ticket was opened to investigate the global reporting/Report Designer failures and related symptoms (slow performance, ""Report cannot be found"", missing authors).",9.0,17,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
f0c5c419-1d87-47a9-84c0-516480258834,54,REPORT DESIGNER,001-SRV-AOS72,"Report Designer functioned correctly when accessed directly via 001-SRV-AOS72, indicating that this server hosts a working copy or a non-degraded instance of the reporting service.",9.0,16,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
aac5c7f5-0c24-4eb5-ae6d-fdf14082b87c,55,REPORT DESIGNER,001-SRV-AOS73,001-SRV-AOS73 was observed to respond very sluggishly and is implicated in degraded Report Designer performance for users who access the service through normal routes.,9.0,16,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
0dc75797-2357-496a-a9be-6dc48e394948,56,REPORT DESIGNER,DATA MART,The Data Mart provides aggregated/reporting data consumed by the Report Designer; a Data Mart Reset was attempted to restore report availability and metadata consistency.,9.0,17,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
6361d0dc-8352-4422-8a03-2c0ed1d110d5,57,REPORT DESIGNER,NETWORK INFRASTRUCTURE,"Network was investigated and found to have no irregularities, indicating the team ruled out network-layer causes for the Report Designer slowness and errors.",6.0,17,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
3c1be6f5-690b-41e6-8a5d-986380c6f0fe,58,REPORT DESIGNER,PREVIOUS REPORT CREATORS,"The previous report creators are the original authors referenced in report metadata; those authors are now displayed as ""unknown"" in the Report Designer/UI, indicating a metadata or data-store issue affecting author attribution.",9.0,15,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
7e57c28e-ec9b-4e1f-a4b2-17f77515f17a,59,REPORT DESIGNER,FRDB IN D365FO_INTE,"The FRDB instance (recreated in D365FO_INTE) stores/reporting data and metadata consumed by the Report Designer; corruption or mismatch in FRDB can cause missing reports, missing author metadata, and ""Report cannot be found"" errors, which is why FRDB recreation was performed as remediation.",10.0,17,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
703a594c-5d29-49a7-baa4-3d803f724bf4,60,REPORT DESIGNER,D365FO_INTE,"The D365FO_INTE environment hosts reporting/data artifacts (including FRDB) used by the Report Designer; remediation actions in this environment (FRDB recreation, Data Mart Reset) were taken to restore Report Designer functionality.",9.0,16,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
cfcafffd-5f14-4a6e-bd78-0e0c27df5838,61,001-SRV-AOS72,001-SRV-AOS73,"Both are sibling application servers in the same service tier; differing performance between them (72 working when accessed directly, 73 sluggish) suggests a node-specific degradation or load/replication issue.",8.0,4,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
4fd905a9-999c-41b1-86d9-42cfd20dc34b,62,FRDB IN D365FO_INTE,D365FO_INTE,The FRDB instance resides in the D365FO_INTE environment; FRDB was recreated in that environment as part of remediation steps.,10.0,5,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
fa74f456-d11c-4e5c-b4ef-46dcfb318e2b,63,JIRA.KF11.COM,MEXICO OFFICE / INTERNAL TICKET,"An internal ticket originating from Mexico was created in or referenced by JIRA (jira.KF11.com), indicating the issue is being tracked in the internal issue-tracking system and is global in scope.",7.0,4,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
3e4acfe7-4e4e-452a-b070-6f40f1f13690,64,MICROSOFT SUPPORT TICKET #2404050050000982,MICROSOFT,The external Microsoft support case (#2404050050000982) was opened with Microsoft as the vendor/respondent to escalate and investigate the global Report Designer/reporting failures.,10.0,9,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']
